feature_set,endpoint,model,fold,n_total,n_pos,pos_rate,roc_auc,avg_prec,mcc,bal_acc,best_params
chemotyper,CYP2C19_antagonist,RandomForest,0,9014,2446,0.2714,0.7984,0.6172,0.4237,0.6903,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,CYP2C19_antagonist,RandomForest,1,9014,2446,0.2714,0.7537,0.5564,0.3463,0.652,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,CYP2C19_antagonist,RandomForest,2,9014,2446,0.2714,0.7623,0.5693,0.3751,0.67,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,CYP2C19_antagonist,RandomForest,3,9014,2446,0.2714,0.7701,0.5767,0.3641,0.6629,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,CYP2C19_antagonist,RandomForest,4,9014,2446,0.2714,0.7839,0.5877,0.3874,0.6765,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,CYP2C19_antagonist,RandomForest,0,9014,2446,0.2714,0.8043,0.6275,0.4287,0.6961,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,CYP2C19_antagonist,RandomForest,1,9014,2446,0.2714,0.7484,0.5543,0.3271,0.65,"{'max_features': 0.2, 'n_estimators': 400}"
pycsrml,CYP2C19_antagonist,RandomForest,2,9014,2446,0.2714,0.7618,0.5652,0.3572,0.6623,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,CYP2C19_antagonist,RandomForest,3,9014,2446,0.2714,0.7705,0.5772,0.3565,0.6588,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,CYP2C19_antagonist,RandomForest,4,9014,2446,0.2714,0.7905,0.5971,0.3967,0.6807,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,CYP2C9_antagonist,RandomForest,0,9014,2883,0.3198,0.7908,0.6476,0.3868,0.6827,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,CYP2C9_antagonist,RandomForest,1,9014,2883,0.3198,0.7956,0.637,0.4171,0.6952,"{'max_features': 'sqrt', 'n_estimators': 400}"
